Date,Date,Open,High,Low,Close,Volume,5EMA,26EMA,rsi,macd,macdSignal,macdHist,macd_crossover,macd_crossunder,ema_crossover,ema_crossunder,macd_buy,macd_sell,ema_buy,ema_sell,rsi_buy,rsi_sell,volume_buy,volume_sell,scores
2012-08-02,2012-08-02,315.5772059253952,316.5414458964904,310.5631531339213,313.1473083496094,3297194,313.5035166207157,315.41797437620465,48.02015464221874,-2.0110873395570366,-2.0367486064859794,0.025661266928942883,1,0,0,0,1,0,0,1,0,0,0,0,2.609954270531913
2012-08-03,2012-08-03,310.29316000110657,310.3317305884277,302.77206843575215,306.24334716796875,4312654,311.0834601364667,314.73837236077975,43.032719114011044,-2.433568380851966,-2.1161125613591767,-0.31745581949278945,0,1,0,0,0,1,0,1,0,0,0,1,4.073302847021275
2012-08-06,2012-08-06,311.6431187028556,315.34579640282783,309.5217857304846,311.8745422363281,3177494,311.3471541697539,314.52623679600555,47.79537933580877,-2.2876269304776997,-2.1504154351828815,-0.13721149529481824,0,0,0,0,0,1,0,1,0,0,0,0,4.04886856468085
2012-08-07,2012-08-07,313.18592396395246,315.69296307457785,311.2960143372472,313.3016357421875,2843806,311.99864802723175,314.43552560683383,48.95996545543338,-2.0333732987429585,-2.127007007894897,0.09363370915193858,1,0,0,0,1,0,0,1,0,0,0,0,4.699245709787234
2012-08-08,2012-08-08,314.65159168491914,319.9742101067916,313.6487809508795,314.7673034667969,4749643,312.92153317375346,314.46010174460883,50.18897683953972,-1.6940800274863363,-2.040421611813185,0.3463415843268485,0,0,0,0,1,0,0,1,0,0,1,0,5.799497139858157
2012-08-09,2012-08-09,313.0701925679068,316.19436096668346,310.33175478130903,313.4173278808594,4435288,313.0867980761221,314.3828592361829,49.01819142624698,-1.516636570793196,-1.9356646036091871,0.4190280328159912,0,0,0,0,1,0,0,1,0,0,0,1,7.5329980932387715
2012-08-10,2012-08-10,312.49169576555323,313.88021247439707,307.4776419682022,308.6347351074219,3155399,311.60277708655536,313.95707226368216,45.01210379817435,-1.7418476841335746,-1.8969012197140647,0.15505353558049007,0,0,0,0,1,0,0,1,0,0,0,0,7.688665395492514
2012-08-13,2012-08-13,309.32896649235187,309.44467827169683,302.000726762803,305.0477294921875,4415404,309.41776122176606,313.2971209472752,42.22480124976261,-2.1845879196283136,-1.9544385596969145,-0.23014935993139907,0,1,0,0,0,1,0,1,0,0,0,1,8.792443596995009
2012-08-14,2012-08-14,300.8435980024028,313.88016042251644,299.7636462321501,313.2630310058594,6913178,310.6995178164638,313.2945957664296,49.87977867744393,-1.8512168959807696,-1.9337942269536854,0.08257733097291586,1,0,0,0,1,0,0,1,0,0,1,0,10.528295731330006
2012-08-16,2012-08-16,313.26304551195403,315.80865505574803,306.39765339601297,307.2076110839844,4546317,309.5355489056373,312.8437080121744,45.13296907553202,-2.0519857242586,-1.9574325264146684,-0.09455319784393157,0,1,0,0,0,1,0,1,0,0,0,0,10.685530487553336
2012-08-17,2012-08-17,307.9789727777072,309.984593891486,302.3863611860764,304.5462646484375,4726694,307.87245415323736,312.2290825778235,43.187702068916245,-2.3981999267505216,-2.045586006481839,-0.35261392026868243,0,0,0,0,0,1,0,1,0,0,0,0,10.123686991702224
2012-08-21,2012-08-21,304.7005456029801,306.6290255336446,298.52939994129525,302.4635009765625,5899101,306.0694697610124,311.50570616291526,41.6738877810742,-2.8082668463823666,-2.1981221744619446,-0.610144671920422,0,0,0,0,0,1,0,1,0,0,0,1,10.415791327801482
2012-08-22,2012-08-22,302.46353362511974,305.85767151808574,300.22651346612963,302.8106689453125,3978331,304.9832028224458,310.86162933198176,42.03858781122333,-3.069846995636567,-2.372467138696869,-0.6973798569396981,0,0,0,0,0,1,0,1,0,0,0,0,10.943860885200989
2012-08-23,2012-08-23,305.3948643821887,311.1803050875501,304.7005937071373,307.4390563964844,5058036,305.80182068045866,310.60810541083384,46.81333389133045,-2.8705886036979678,-2.4720914316970886,-0.3984971720008792,0,0,0,0,0,1,0,1,0,0,1,0,12.29590725680066
2012-08-24,2012-08-24,305.471973759672,305.54911493775614,297.60374655737064,299.14654541015625,5662058,303.58339559035784,309.75910096633925,40.39298916462338,-3.3432720664309272,-2.6463275586438564,-0.6969445077870708,0,0,0,0,0,1,0,1,0,0,0,1,8.530604837867108
2012-08-27,2012-08-27,301.2293101489299,301.923556048202,296.60093826338914,297.488037109375,3511188,301.5516094300302,308.8501332732308,39.234030417293944,-3.807810802635288,-2.878624207442143,-0.9291865951931451,0,0,0,0,0,1,0,1,0,1,0,0,6.353736558578071
2012-08-28,2012-08-28,300.38086469769604,300.38086469769604,287.8071445782586,291.74127197265625,4839509,298.2814969442389,307.58281021392906,35.43964194354666,-4.586803204554883,-3.2202600068646907,-1.3665431976901923,0,0,0,0,0,1,0,1,0,1,0,1,5.235824372385381
2012-08-29,2012-08-29,289.6583425989305,292.55108700398233,287.7298628014923,288.809814453125,3129126,295.1242694472009,306.1922179353509,33.65178872120087,-5.378702088476643,-3.6519484231870813,-1.726753665289562,0,0,0,0,0,1,0,1,0,1,0,0,4.823882914923588
2012-08-30,2012-08-30,287.9613453431146,288.3084806730227,281.1730693671975,282.2530212402344,5893959,290.83385337821204,304.418944106083,30.005612922881742,-6.4608889679225285,-4.21373653213417,-2.247152435788358,0,0,0,0,0,1,0,1,0,1,0,1,4.8825886099490585
2012-08-31,2012-08-31,282.3301644724726,284.3357858642455,276.2361591121704,278.7817687988281,5021488,286.81649185175075,302.5198940833234,28.25987486676626,-7.5120368435217415,-4.873396594411685,-2.6386402491100567,0,0,0,0,0,1,0,1,0,1,0,1,3.2550590732993725
2012-09-03,2012-09-03,280.90311129807026,282.8315915689127,273.99912326612974,276.1590270996094,3834484,283.26400360103696,300.56723726971495,26.9825157205194,-8.459200051481332,-5.590557285825614,-2.868642765655718,0,0,0,0,0,1,0,1,0,1,0,0,2.170039382199582
2012-09-04,2012-09-04,275.9276269460563,281.5202399730846,274.2691406909217,280.5559997558594,3315807,282.3613356526444,299.0849233797997,32.49164823982168,-8.754122694239015,-6.223270367508294,-2.530852326730721,0,0,0,0,0,1,0,1,0,1,0,0,1.446692921466388
2012-09-05,2012-09-05,278.1646139352439,279.01314218373136,268.86932437305853,269.91070556640625,5918677,278.21112562389834,296.9238702084372,27.150621880383262,-9.734622618131027,-6.925540817632841,-2.809081800498186,0,0,0,0,0,1,0,1,0,1,0,1,0.9644619476442586
2012-09-06,2012-09-06,270.5278109226451,272.99627920491514,267.8665144039549,270.9520874023437,4938402,275.79144621671344,295.0000344450229,28.390729123293575,-10.308811499018589,-7.602194953909991,-2.7066165451085977,0,0,0,0,0,1,0,1,0,1,1,0,0.6429746317628391
2012-09-07,2012-09-07,277.856047257541,286.9584830010112,277.856047257541,286.1099548339844,7484439,279.2309490891371,294.3415100293904,43.47397007540967,-9.432020639081486,-7.96816009094429,-1.4638605481371965,0,0,0,0,0,1,0,1,0,0,1,0,0.7619830878418927
2012-09-10,2012-09-10,289.2727125411945,295.7524235951031,289.2727125411945,293.1682434082031,6394870,283.8767138621591,294.25460139078393,48.874191811989206,-8.07453445926052,-7.989434964607535,-0.08509949465298394,0,0,0,0,0,1,0,1,0,0,1,0,1.1746553918945952
