,id,ticker,Entry Type,buy_date,buy_price,sell_date,sell_price,change_pct,pnl,pnl_pct,quantity,num_days,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
21,22,,long,2006-08-01,639.3670104980469,2006-08-04,634.4008952849908,-0.78,-751.3651024622089,-0.41,100,3,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
22,23,,long,2006-09-29,733.4511840820312,2006-11-16,752.6726962105145,2.62,1624.9264367898163,0.87,100,31,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
23,24,,long,2006-12-15,783.8317077636718,2007-04-27,622.3957423146131,-20.6,-16424.842034921527,-9.53,100,88,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
24,25,,long,2007-06-19,630.3766723632813,2007-07-04,711.7386425886668,12.91,7867.773959548166,4.37,100,11,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
25,26,,long,2007-08-27,781.1620056152344,2007-09-06,822.3479527212982,5.27,3797.8927189390674,1.98,100,8,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
26,27,,long,2007-10-24,827.3925537109375,2007-12-06,830.6925817881809,0.4,-0.8071096877426953,-0.0,50,30,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
27,28,,long,2008-01-23,599.9535888671875,2008-04-03,628.1400089903033,4.7,2573.023292740081,1.3,100,48,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
28,29,,long,2008-07-08,398.6546630859375,2008-08-08,499.96078777435025,25.41,9950.889378669217,4.72,100,23,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
29,30,,long,2008-09-08,471.0723480224609,2008-09-17,454.33941072832226,-3.55,-3716.7521623280436,-1.71,200,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
30,31,,long,2008-10-29,355.0659210205078,2008-12-23,378.09530566284786,6.49,4312.612437794671,1.95,200,36,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
31,32,,long,2009-01-06,410.6201171875,2009-01-16,408.40541998714787,-0.54,-770.549654940286,-0.34,200,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
32,33,,long,2009-02-03,407.7414123535156,2009-02-12,429.6537530298565,5.37,4047.510069114826,1.77,200,7,ACC,100000,198904.56178058032,98.90456178058032,54.65116279069767,98904.56178058029,1150.053043960236,3786.671407825639,-2027.410112492942,12454.707983936241,-16424.842034921527
