stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
TECHM,TECHM,500000,341879.7650623055: 3.41 Lakh,-31.6240469875389,41.30434782608695,-158120.23493769442,-3437.3964116890093,7373.473082878342,-11045.045315273443,27329.53243953134,-82623.70558108104
MARICO,MARICO,500000,340714.47925002855: 3.40 Lakh,-31.857104149994285,43.18181818181818,-159285.52074997147,-3620.125471590261,10266.242565449174,-14173.76517974023,38387.823810222246,-116929.08357291417
PEL,PEL,500000,340118.5013911395: 3.40 Lakh,-31.976299721772094,50.0,-159881.49860886045,-4441.152739135013,10813.542703940919,-19695.848182210946,52512.791800128,-106490.59038012293
VEDL,VEDL,500000,335356.2393037005: 3.35 Lakh,-32.9287521392599,55.88235294117647,-164643.7606962994,-4842.463549891159,36282.65599041704,-56934.28163428155,83920.61765441977,-152713.4845976764
NMDC,NMDC,500000,334746.2097353467: 3.34 Lakh,-33.050758052930654,47.368421052631575,-165253.79026465327,-8697.567908665962,20139.116168459077,-34650.5835780785,83554.30270864765,-86126.45939761576
ONGC,ONGC,500000,332566.93012971466: 3.32 Lakh,-33.486613974057065,45.588235294117645,-167433.06987028534,-2462.2510275041964,10402.994674523845,-13241.240669743906,67384.98359042205,-78895.11600342923
SUNPHARMA,SUNPHARMA,500000,332463.6277024361: 3.32 Lakh,-33.50727445951278,48.93617021276596,-167536.37229756385,-3564.603665905614,19329.206038879325,-25504.504632991182,80364.40577554709,-140998.88727364634
SAIL,SAIL,500000,329907.78840305976: 3.29 Lakh,-34.01844231938805,52.94117647058824,-170092.21159694027,-10005.424211584721,49311.177004228026,-76736.60057937406,140701.44763723458,-208478.6488573101
WIPRO,WIPRO,500000,325186.14189308335: 3.25 Lakh,-34.96277162138333,53.84615384615385,-174813.85810691665,-13447.219854378203,40000.78988045722,-75803.2312116862,141937.06970459758,-289701.26140606723
YESBANK,YESBANK,500000,319558.2365611595: 3.19 Lakh,-36.08835268776811,50.0,-180441.76343884048,-3608.8352687768097,22114.064016223154,-29331.734553776765,76355.44585940917,-261523.1484754944
CADILAHC,CADILAHC,500000,303630.2335550237: 3.03 Lakh,-39.273953288995266,29.09090909090909,-196369.76644497638,-3570.3593899086613,15953.63890926593,-11580.20484598029,61765.97300255572,-64042.780550825875
BRITANNIA,BRITANNIA,500000,302773.90004603507: 3.02 Lakh,-39.445219990792985,31.428571428571427,-197226.09995396496,-5635.031427256142,15386.064420995815,-15269.700357704955,49511.83297566939,-74124.02242040884
INFY,INFY,500000,301718.54482603475: 3.01 Lakh,-39.65629103479305,43.75,-198281.45517396522,-4130.8636494576085,21391.563912128593,-23981.640641802438,51400.09175882251,-154902.33289656747
SIEMENS,SIEMENS,500000,295923.7136778518: 2.95 Lakh,-40.81525726442965,52.63157894736842,-204076.28632214823,-5370.428587424954,12284.273258672874,-24986.763971978096,30882.98567267694,-114068.55342504133
DLF,DLF,500000,287650.06139422045: 2.87 Lakh,-42.46998772115591,50.0,-212349.93860577958,-15167.852757555684,9525.103716556589,-39860.80923166796,29631.49682065481,-135264.10622365834
BAJAJFINSV,BAJAJFINSV,500000,281254.4337577085: 2.81 Lakh,-43.74911324845829,37.735849056603776,-218745.56624229153,-4127.274834760217,10434.668073140534,-12952.69477894249,37913.99922629819,-63119.61763390991
CHOLAFIN,CHOLAFIN,500000,273902.2949922057: 2.73 Lakh,-45.21954100155886,43.47826086956522,-226097.7050077943,-9830.335000338882,20289.72248906497,-32999.609992188,52930.07203208883,-114688.19871927366
TATASTEEL,TATASTEEL,500000,266110.9661236999: 2.66 Lakh,-46.77780677526002,60.0,-233889.03387630015,-4677.780677526003,20032.72526732745,-41743.53959480618,69414.31634962579,-409400.18975351204
AUROPHARMA,AUROPHARMA,500000,263625.7284082206: 2.63 Lakh,-47.274854318355885,57.89473684210527,-236374.27159177948,-12440.751136409446,47955.47698412219,-95485.56480214045,125825.47365207295,-255241.0354223492
M&M,M&M,500000,258151.66954271708: 2.58 Lakh,-48.36966609145659,25.0,-241848.3304572829,-10077.013769053454,9167.565757086042,-16491.873611099953,22834.018550701257,-199342.23943875215
HINDALCO,HINDALCO,500000,256367.23946921792: 2.56 Lakh,-48.72655210615642,36.36363636363637,-243632.76053078208,-11074.21638776282,13659.690299485463,-25207.8773519047,55749.344532076524,-94591.41887293386
IOC,IOC,500000,218167.44485650305: 2.18 Lakh,-56.36651102869939,14.285714285714285,-281832.55514349695,-40261.79359192814,1918.4404725871707,-47291.83260268068,1918.4404725871707,-187797.34279551284
JINDALSTEL,JINDALSTEL,500000,204612.1068370319: 2.04 Lakh,-59.07757863259362,51.42857142857142,-295387.8931629681,-4219.827045185259,36864.81775048029,-47721.21565236055,106078.39229559737,-280804.98551029025
BAJFINANCE,BAJFINANCE,500000,144890.68862140318: 1.44 Lakh,-71.02186227571936,42.10526315789473,-355109.3113785968,-18689.963756768255,8189.581899728951,-38238.72423422076,15938.245386303914,-209163.4772634913
