stock,stock,initial_capital,ending_value,returns,accuracy,profit,avg_pl,avg_profit,avg_loss,max_profit,max_loss
SBICARD,SBICARD,500000,501366.13155487855,0.27322631097570993,37.5,1366.1315548785733,170.76644435982166,11453.665287612077,-6598.97286159153,30080.541284536455,-15411.74373821456
HDFCAMC,HDFCAMC,500000,497482.0978408714,-0.5035804318257142,43.75,-2517.9021591286037,-157.36888494553773,3017.5004624921808,-2626.71171073043,9210.918699801186,-8778.551809082026
GLAND,GLAND,500000,496612.5263720703,-0.6774947255859384,60.0,-3387.4736279297194,-677.4947255859439,3483.1048120117066,-6918.39403198242,9923.072763671857,-7818.0362548828125
MARUTI,MARUTI,500000,496037.8907035568,-0.7924218592886347,49.29577464788733,-3962.109296443187,-55.80435628793221,7396.218664677713,-7300.826737782309,35497.35178401366,-49989.235323450026
LUPIN,LUPIN,500000,493660.14382453973,-1.2679712350920542,51.31578947368421,-6339.856175460296,-83.41916020342495,8405.4191348534,-9031.113579317374,39565.07106921965,-44377.14348263403
LTI,LTI,500000,490915.1861904989,-1.8169627619002247,45.0,-9084.813809501122,-454.2406904750561,5862.884982207934,-5622.7980590338675,18055.507819798237,-22070.657977205658
HAVELLS,HAVELLS,500000,487150.68283800286,-2.569863432399428,44.44444444444444,-12849.317161997147,-203.95741526979597,18762.416831594357,-15377.056812761115,56523.49481759111,-119075.95390485752
BAJAJ-AUTO,BAJAJ-AUTO,500000,485955.6603026127,-2.8088679394774605,40.0,-14044.339697387311,-200.63342424839016,7890.669889392081,-5594.835633342037,53726.9789512944,-45387.13751400941
HDFCLIFE,HDFCLIFE,500000,479272.71510305785,-4.145456979388429,46.15384615384615,-20727.284896942154,-1594.4065305340118,3664.982471727602,-6102.454246758252,9909.312522094668,-21346.86853393556
POWERGRID,POWERGRID,500000,464753.90591674764,-7.049218816650472,40.816326530612244,-35246.09408325233,-719.3080425153536,7027.344365997902,-6061.826944938289,36925.99582197932,-36988.968083439235
INDUSINDBK,INDUSINDBK,500000,455927.5757056051,-8.81448485887898,51.92307692307693,-44072.424294394885,-847.5466210460555,15437.792448220976,-18435.71281585445,63003.06515355171,-137502.7967231836
TECHM,TECHM,500000,454269.79241093673,-9.146041517812655,54.71698113207547,-45730.207589063255,-862.8341054540236,11672.735305723696,-16009.980477293773,105234.21929933746,-100535.8358142667
DABUR,DABUR,500000,451500.622274135,-9.699875545172999,44.285714285714285,-48499.377725864986,-692.8482532266427,9649.074398595436,-8913.350873905729,39013.964065815395,-39997.0301400479
BPCL,BPCL,500000,451427.8249829815,-9.714435003403702,54.761904761904766,-48572.17501701829,-578.2401787740273,31626.155485317966,-39562.508614253806,142392.77177450177,-261738.5213611068
NTPC,NTPC,500000,449690.2874527535,-10.061942509449297,44.26229508196721,-50309.71254724651,-824.7493860204346,7554.593876873642,-7478.933741848084,34006.36869717225,-32310.381421584072
COLPAL,COLPAL,500000,446627.7824272794,-10.674443514544121,41.42857142857143,-53372.21757272057,-762.4602510388653,7103.6600505362085,-6326.301439957821,51128.96189019878,-37599.84386657485
ASIANPAINT,ASIANPAINT,500000,446297.56021476956,-10.740487957046088,46.05263157894737,-53702.43978523044,-706.6110498056637,7844.388893717043,-8006.245147934804,24133.84239481398,-35002.28621298564
NESTLEIND,NESTLEIND,500000,438002.4401390425,-12.3995119721915,42.30769230769231,-61997.55986095751,-2384.5215331137506,6015.755435096042,-8544.724643134265,15108.797284082948,-16137.814917043705
HCLTECH,HCLTECH,500000,436066.6680334934,-12.78666639330132,39.473684210526315,-63933.33196650655,-841.2280521908757,13438.59301192721,-10154.154833137454,95411.00456501027,-66793.38244120621
GRASIM,GRASIM,500000,430826.94954790856,-13.834610090418288,47.05882352941176,-69173.05045209144,-1017.2507419425211,7148.635582560184,-8275.816363722704,32481.50429102818,-90888.60557947255
BANDHANBNK,BANDHANBNK,500000,423963.2186214115,-15.207356275717704,43.75,-76036.78137858858,-4752.298836161786,15464.263116010798,-20476.29146562935,39334.22877312575,-110364.40710391148
HEROMOTOCO,HEROMOTOCO,500000,419136.95560202206,-16.172608879595586,48.57142857142857,-80863.04439797791,-1155.1863485425415,8611.702096399671,-10379.469879876853,32752.05068228256,-55884.92808794747
RELIANCE,RELIANCE,500000,408900.61397732823,-18.219877204534356,53.84615384615385,-91099.38602267172,-1401.5290157334111,14616.475696108659,-20089.20117954916,81879.17208859824,-161383.00160943996
BOSCHLTD,BOSCHLTD,500000,408080.7241330224,-18.383855173395517,27.27272727272727,-91919.27586697761,-2785.4326020296244,9861.572497660633,-7528.059514413469,23401.642145457823,-34906.713455283105
